iter	Passed	Remaining
0	563	55785
1	858	42048
2	1138	36807
3	1519	36456
4	1871	35555
5	2183	34203
6	2463	32723
7	2804	32257
8	3117	31524
9	3453	31081
10	3786	30637
11	4133	30315
12	4527	30301
13	4841	29740
14	5164	29267
15	5500	28876
16	5839	28512
17	6134	27944
18	6467	27570
19	6779	27117
20	7072	26607
21	7385	26184
22	7682	25721
23	8013	25374
24	8327	24982
25	8631	24565
26	8923	24126
27	9225	23722
28	9520	23307
29	9829	22936
30	10125	22536
31	10424	22151
32	10722	21769
33	11034	21418
34	11350	21079
35	11653	20716
36	11953	20352
37	12258	20000
38	12559	19643
39	12887	19330
40	13159	18936
41	13426	18540
42	13720	18187
43	14046	17877
44	14361	17552
45	14621	17164
46	14906	16809
47	15186	16452
48	15462	16093
49	15761	15761
50	16025	15396
51	16302	15048
52	16566	14690
53	16846	14351
54	17112	14001
55	17402	13673
56	17679	13337
57	17980	13020
58	18299	12716
59	18639	12426
60	18979	12134
61	19304	11831
62	19601	11511
63	19918	11204
64	20236	10896
65	20538	10580
66	20842	10265
67	21177	9965
68	21509	9663
69	21817	9350
70	22129	9038
71	22482	8743
72	22855	8453
73	23258	8171
74	23620	7873
75	23924	7555
76	24256	7245
77	24568	6929
78	24870	6611
79	25176	6294
80	25526	5987
81	25820	5667
82	26126	5351
83	26457	5039
84	26804	4730
85	27099	4411
86	27409	4095
87	27833	3795
88	28127	3476
89	28453	3161
90	28738	2842
91	29042	2525
92	29295	2205
93	29581	1888
94	29843	1570
95	30115	1254
96	30401	940
97	30697	626
98	30983	312
99	31262	0
